especie,fecha,apertura,maximo,minimo,cierre
MERVAL,01-02-89,0.2,0.2,0.2,0.2
MERVAL,01-03-89,0.21,0.21,0.21,0.21
MERVAL,01-04-89,0.22,0.22,0.22,0.22
MERVAL,01-05-89,0.21,0.21,0.21,0.21
MERVAL,01-06-89,0.21,0.21,0.21,0.21
MERVAL,01-09-89,0.22,0.22,0.22,0.22
MERVAL,01-10-89,0.22,0.22,0.22,0.22
MERVAL,01-11-89,0.21,0.21,0.21,0.21
MERVAL,01-12-89,0.21,0.21,0.21,0.21
MERVAL,01-13-89,0.21,0.21,0.21,0.21
MERVAL,01-17-89,0.2,0.2,0.2,0.2
MERVAL,01-18-89,0.2,0.2,0.2,0.2
MERVAL,01-19-89,0.19,0.19,0.19,0.19
MERVAL,01-20-89,0.19,0.19,0.19,0.19
MERVAL,01-23-89,0.2,0.2,0.2,0.2
MERVAL,01-24-89,0.19,0.19,0.19,0.19
MERVAL,01-25-89,0.19,0.19,0.19,0.19
MERVAL,01-26-89,0.19,0.19,0.19,0.19
MERVAL,01-27-89,0.18,0.18,0.18,0.18
MERVAL,01-30-89,0.18,0.18,0.18,0.18
MERVAL,01-31-89,0.18,0.18,0.18,0.18
MERVAL,02-01-89,0.19,0.19,0.19,0.19
MERVAL,02-02-89,0.18,0.18,0.18,0.18
MERVAL,02-03-89,0.17,0.17,0.17,0.17
MERVAL,02-07-89,0.2,0.2,0.2,0.2
MERVAL,02-08-89,0.23,0.23,0.23,0.23
MERVAL,02-09-89,0.2,0.2,0.2,0.2
MERVAL,02-10-89,0.21,0.21,0.21,0.21
MERVAL,02-13-89,0.2,0.2,0.2,0.2
MERVAL,02-14-89,0.2,0.2,0.2,0.2
MERVAL,02-15-89,0.23,0.23,0.23,0.23
MERVAL,02-16-89,0.24,0.24,0.24,0.24
MERVAL,02-17-89,0.24,0.24,0.24,0.24
MERVAL,02-20-89,0.24,0.24,0.24,0.24
MERVAL,02-21-89,0.23,0.23,0.23,0.23
MERVAL,02-22-89,0.22,0.22,0.22,0.22
MERVAL,02-23-89,0.23,0.23,0.23,0.23
MERVAL,02-24-89,0.25,0.25,0.25,0.25
MERVAL,02-27-89,0.24,0.24,0.24,0.24
MERVAL,02-28-89,0.24,0.24,0.24,0.24
MERVAL,03-01-89,0.24,0.24,0.24,0.24
MERVAL,03-02-89,0.27,0.27,0.27,0.27
MERVAL,03-03-89,0.28,0.28,0.28,0.28
MERVAL,03-06-89,0.3,0.3,0.3,0.3
MERVAL,03-07-89,0.32,0.32,0.32,0.32
MERVAL,03-08-89,0.36,0.36,0.36,0.36
MERVAL,03-09-89,0.33,0.33,0.33,0.33
MERVAL,03-10-89,0.33,0.33,0.33,0.33
MERVAL,03-13-89,0.36,0.36,0.36,0.36
MERVAL,03-15-89,0.39,0.39,0.39,0.39
MERVAL,03-16-89,0.4,0.4,0.4,0.4
MERVAL,03-17-89,0.4,0.4,0.4,0.4
MERVAL,03-20-89,0.38,0.38,0.38,0.38
MERVAL,03-21-89,0.37,0.37,0.37,0.37
MERVAL,03-22-89,0.4,0.4,0.4,0.4
MERVAL,03-27-89,0.42,0.42,0.42,0.42
MERVAL,03-28-89,0.4,0.4,0.4,0.4
MERVAL,03-29-89,0.45,0.45,0.45,0.45
MERVAL,03-30-89,0.46,0.46,0.46,0.46
MERVAL,03-31-89,0.45,0.45,0.45,0.45
MERVAL,04-04-89,0.46,0.46,0.46,0.46
MERVAL,04-05-89,0.43,0.43,0.43,0.43
MERVAL,04-06-89,0.43,0.43,0.43,0.43
MERVAL,04-07-89,0.42,0.42,0.42,0.42
MERVAL,04-10-89,0.38,0.38,0.38,0.38
MERVAL,04-11-89,0.41,0.41,0.41,0.41
MERVAL,04-12-89,0.45,0.45,0.45,0.45
MERVAL,04-13-89,0.49,0.49,0.49,0.49
MERVAL,04-14-89,0.46,0.46,0.46,0.46
MERVAL,04-17-89,0.44,0.44,0.44,0.44
MERVAL,04-18-89,0.48,0.48,0.48,0.48
MERVAL,04-20-89,0.49,0.49,0.49,0.49
MERVAL,04-21-89,0.49,0.49,0.49,0.49
MERVAL,04-24-89,0.53,0.53,0.53,0.53
MERVAL,04-25-89,0.61,0.61,0.61,0.61
MERVAL,04-26-89,0.74,0.74,0.74,0.74
MERVAL,04-27-89,0.71,0.71,0.71,0.71
MERVAL,05-03-89,0.72,0.72,0.72,0.72
MERVAL,05-04-89,0.7,0.7,0.7,0.7
MERVAL,05-05-89,0.75,0.75,0.75,0.75
MERVAL,05-08-89,0.94,0.94,0.94,0.94
MERVAL,05-09-89,0.97,0.97,0.97,0.97
MERVAL,05-10-89,1.07,1.07,1.07,1.07
MERVAL,05-11-89,1.05,1.05,1.05,1.05
MERVAL,05-12-89,1.08,1.08,1.08,1.08
MERVAL,05-15-89,0.95,0.95,0.95,0.95
MERVAL,05-16-89,0.88,0.88,0.88,0.88
MERVAL,05-17-89,1.05,1.05,1.05,1.05
MERVAL,05-18-89,1.28,1.28,1.28,1.28
MERVAL,05-19-89,1.26,1.26,1.26,1.26
MERVAL,05-30-89,1.64,1.64,1.64,1.64
MERVAL,05-31-89,2.28,2.28,2.28,2.28
MERVAL,06-01-89,2.21,2.21,2.21,2.21
MERVAL,06-02-89,2.64,2.64,2.64,2.64
MERVAL,06-05-89,3.14,3.14,3.14,3.14
MERVAL,06-06-89,3.01,3.01,3.01,3.01
MERVAL,06-07-89,3.09,3.09,3.09,3.09
MERVAL,06-08-89,2.96,2.96,2.96,2.96
MERVAL,06-09-89,3.19,3.19,3.19,3.19
MERVAL,06-12-89,3.66,3.66,3.66,3.66
MERVAL,06-13-89,4.24,4.24,4.24,4.24
MERVAL,06-14-89,4.87,4.87,4.87,4.87
MERVAL,06-15-89,4.57,4.57,4.57,4.57
MERVAL,06-16-89,5.14,5.14,5.14,5.14
MERVAL,06-20-89,5.66,5.66,5.66,5.66
MERVAL,06-21-89,5.3,5.3,5.3,5.3
MERVAL,06-22-89,4.99,4.99,4.99,4.99
MERVAL,06-23-89,5.24,5.24,5.24,5.24
MERVAL,06-26-89,5.58,5.58,5.58,5.58
MERVAL,06-27-89,6.19,6.19,6.19,6.19
MERVAL,06-28-89,8.02,8.02,8.02,8.02
MERVAL,06-29-89,7.84,7.84,7.84,7.84
MERVAL,06-30-89,8.82,8.82,8.82,8.82
MERVAL,07-03-89,8.7,8.7,8.7,8.7
MERVAL,07-04-89,8.54,8.54,8.54,8.54
MERVAL,07-05-89,9.54,9.54,9.54,9.54
MERVAL,07-06-89,9.01,9.01,9.01,9.01
MERVAL,07-07-89,9.2,9.2,9.2,9.2
MERVAL,07-10-89,9.84,9.84,9.84,9.84
MERVAL,07-11-89,9.05,9.05,9.05,9.05
MERVAL,07-12-89,8.57,8.57,8.57,8.57
MERVAL,07-13-89,9.51,9.51,9.51,9.51
MERVAL,07-14-89,10.2,10.2,10.2,10.2
MERVAL,07-17-89,10.79,10.79,10.79,10.79
MERVAL,07-18-89,11.46,11.46,11.46,11.46
MERVAL,07-19-89,11.89,11.89,11.89,11.89
MERVAL,07-20-89,11.01,11.01,11.01,11.01
MERVAL,07-21-89,10.51,10.51,10.51,10.51
MERVAL,07-24-89,9.44,9.44,9.44,9.44
MERVAL,07-25-89,9.24,9.24,9.24,9.24
MERVAL,07-26-89,9.98,9.98,9.98,9.98
MERVAL,07-27-89,9.31,9.31,9.31,9.31
MERVAL,07-28-89,8.44,8.44,8.44,8.44
MERVAL,07-31-89,7.49,7.49,7.49,7.49
MERVAL,08-01-89,8.24,8.24,8.24,8.24
MERVAL,08-02-89,7.97,7.97,7.97,7.97
MERVAL,08-03-89,8.09,8.09,8.09,8.09
MERVAL,08-04-89,8.53,8.53,8.53,8.53
MERVAL,08-07-89,9.36,9.36,9.36,9.36
MERVAL,08-08-89,9.11,9.11,9.11,9.11
MERVAL,08-09-89,9.18,9.18,9.18,9.18
MERVAL,08-10-89,9.55,9.55,9.55,9.55
MERVAL,08-11-89,9.67,9.67,9.67,9.67
MERVAL,08-14-89,9.26,9.26,9.26,9.26
MERVAL,08-15-89,9.42,9.42,9.42,9.42
MERVAL,08-16-89,9.64,9.64,9.64,9.64
MERVAL,08-17-89,9.83,9.83,9.83,9.83
MERVAL,08-18-89,10.15,10.15,10.15,10.15
MERVAL,08-22-89,10.22,10.22,10.22,10.22
MERVAL,08-23-89,10.34,10.34,10.34,10.34
MERVAL,08-24-89,10.41,10.41,10.41,10.41
MERVAL,08-25-89,10.68,10.68,10.68,10.68
MERVAL,08-28-89,10.58,10.58,10.58,10.58
MERVAL,08-29-89,10.51,10.51,10.51,10.51
MERVAL,08-30-89,10.95,10.95,10.95,10.95
MERVAL,08-31-89,10.92,10.92,10.92,10.92
MERVAL,09-01-89,10.82,10.82,10.82,10.82
MERVAL,09-04-89,10.69,10.69,10.69,10.69
MERVAL,09-05-89,10.99,10.99,10.99,10.99
MERVAL,09-06-89,11.76,11.76,11.76,11.76
MERVAL,09-07-89,12.15,12.15,12.15,12.15
MERVAL,09-08-89,11.9,11.9,11.9,11.9
MERVAL,09-11-89,12.88,12.88,12.88,12.88
MERVAL,09-12-89,12.74,12.74,12.74,12.74
MERVAL,09-13-89,13.98,13.98,13.98,13.98
MERVAL,09-14-89,14.77,14.77,14.77,14.77
MERVAL,09-15-89,15.01,15.01,15.01,15.01
MERVAL,09-18-89,17.2,17.2,17.2,17.2
MERVAL,09-19-89,15.49,15.49,15.49,15.49
MERVAL,09-20-89,17.07,17.07,17.07,17.07
MERVAL,09-21-89,18.02,18.02,18.02,18.02
MERVAL,09-22-89,17.89,17.89,17.89,17.89
MERVAL,09-25-89,19.1,19.1,19.1,19.1
MERVAL,09-26-89,20.86,20.86,20.86,20.86
MERVAL,09-27-89,21.28,21.28,21.28,21.28
MERVAL,09-28-89,22.87,22.87,22.87,22.87
MERVAL,09-29-89,22.87,22.87,22.87,22.87
MERVAL,10-02-89,22.87,22.87,22.87,22.87
MERVAL,10-03-89,23.51,23.51,23.51,23.51
MERVAL,10-04-89,24.1,24.1,24.1,24.1
MERVAL,10-05-89,24.28,24.28,24.28,24.28
MERVAL,10-06-89,22.87,22.87,22.87,22.87
MERVAL,10-09-89,22.57,22.57,22.57,22.57
MERVAL,10-10-89,23.13,23.13,23.13,23.13
MERVAL,10-11-89,23.16,23.16,23.16,23.16
MERVAL,10-12-89,21.95,21.95,21.95,21.95
MERVAL,10-13-89,20.48,20.48,20.48,20.48
MERVAL,10-17-89,18.42,18.42,18.42,18.42
MERVAL,10-18-89,18.84,18.84,18.84,18.84
MERVAL,10-19-89,20.22,20.22,20.22,20.22
MERVAL,10-20-89,21.65,21.65,21.65,21.65
MERVAL,10-23-89,20.94,20.94,20.94,20.94
MERVAL,10-24-89,21.72,21.72,21.72,21.72
MERVAL,10-25-89,20.58,20.58,20.58,20.58
MERVAL,10-26-89,20.15,20.15,20.15,20.15
MERVAL,10-27-89,20.26,20.26,20.26,20.26
MERVAL,10-30-89,20.46,20.46,20.46,20.46
MERVAL,10-31-89,20.98,20.98,20.98,20.98
MERVAL,11-01-89,22.21,22.21,22.21,22.21
MERVAL,11-02-89,21.01,21.01,21.01,21.01
MERVAL,11-03-89,20.89,20.89,20.89,20.89
