Price,Close,High,Low,Open,Volume
Ticker,CEPU.BA,CEPU.BA,CEPU.BA,CEPU.BA,CEPU.BA
Date,,,,,
2000-01-03,-0.00802091509103775,-0.008271488365821325,-0.00802091509103775,-0.00802091509103775,96000
2000-01-04,-0.007669919170439243,-0.00787044183915066,-0.007669919170439243,-0.007669919170439243,128736
2000-01-05,-0.007820391096174717,-0.007820391096174717,-0.007669919018591473,-0.007820391096174717,506832
2000-01-06,-0.007820391096174717,-0.007820391096174717,-0.007770020192907987,-0.007820391096174717,84048
2000-01-07,-0.007569497916847467,-0.0077199706116415885,-0.007569497916847468,-0.007569497916847468,66576
2000-01-10,-0.007669919170439243,-0.007669919170439243,-0.007619868582290093,-0.007669919170439243,91600
2000-01-11,-0.00751944724470377,-0.0077700205067236855,-0.0075194472447037706,-0.0075194472447037706,503184
2000-01-12,-0.00751944724470377,-0.007569497236278767,-0.0075194472447037706,-0.0075194472447037706,166440
2000-01-13,-0.007619868963956833,-0.00777002073592514,-0.007619868963956833,-0.007619868963956833,203440
2000-01-14,-0.007719970308244228,-0.007719970308244228,-0.007569497619363734,-0.007719970308244228,627984
2000-01-17,-0.007719970308244228,-0.007770020899956941,-0.007719970308244228,-0.007719970308244228,188680
2000-01-18,-0.008171064779162407,-0.008171064779162407,-0.007619867738340742,-0.008171064779162407,351680
2000-01-19,-0.008221437223255634,-0.008321538400007192,-0.008171065721158895,-0.008221437223255634,225560
2000-01-20,-0.008271487429738045,-0.008271487429738045,-0.008020914183311816,-0.008271487429738045,469480
2000-01-21,-0.008271487429738045,-0.008271487429738045,-0.008271487429738045,-0.008271487429738045,0
2000-01-24,-0.007970542646944523,-0.008020914146484339,-0.007970542646944523,-0.007970542646944523,124400
2000-01-25,-0.007719970308244228,-0.007970543582945414,-0.007719970308244228,-0.007719970308244228,146240
2000-01-26,-0.007569497916847467,-0.0077199706116415885,-0.007569497916847468,-0.007569497916847468,261696
2000-01-27,-0.007619868963956833,-0.007619868963956833,-0.00756949745956515,-0.007619868963956833,305600
2000-01-28,-0.007619868963956833,-0.007619868963956833,-0.007419346285201566,-0.007619868963956833,178256
2000-01-31,-0.007619868963956833,-0.007619868963956833,-0.007619868963956833,-0.007619868963956833,0
2000-02-01,-0.007569497916847467,-0.007669920017961871,-0.007569497916847468,-0.007569497916847468,144360
2000-02-02,-0.007569497916847467,-0.007569497916847468,-0.007569497916847468,-0.007569497916847468,0
2000-02-03,-0.00837158877402544,-0.00852206085141615,-0.007770020182965984,-0.00837158877402544,1580984
2000-02-04,-0.00887305662035942,-0.00887305662035942,-0.008672533946169039,-0.00887305662035942,768816
2000-02-07,-0.00882300641387701,-0.00912363028015182,-0.00882300641387701,-0.00882300641387701,824768
