 
Fecha	Valor
31/03/2016	14,05
01/04/2016	14,05
02/04/2016	14,06
03/04/2016	14,06
04/04/2016	14,06
05/04/2016	14,10
06/04/2016	14,11
07/04/2016	14,12
08/04/2016	14,14
09/04/2016	14,15
10/04/2016	14,15
11/04/2016	14,15
12/04/2016	14,18
13/04/2016	14,20
14/04/2016	14,21
15/04/2016	14,22
16/04/2016	14,23
17/04/2016	14,23
18/04/2016	14,23
19/04/2016	14,27
20/04/2016	14,28
21/04/2016	14,29
22/04/2016	14,31
23/04/2016	14,32
24/04/2016	14,32
25/04/2016	14,32
26/04/2016	14,36
27/04/2016	14,37
28/04/2016	14,38
29/04/2016	14,40
30/04/2016	14,41
01/05/2016	14,41
02/05/2016	14,41
03/05/2016	14,46
04/05/2016	14,47
05/05/2016	14,48
06/05/2016	14,50
07/05/2016	14,51
08/05/2016	14,51
09/05/2016	14,51
10/05/2016	14,55
11/05/2016	14,57
12/05/2016	14,58
13/05/2016	14,60
14/05/2016	14,61
15/05/2016	14,61
16/05/2016	14,61
17/05/2016	14,65
18/05/2016	14,67
19/05/2016	14,68
20/05/2016	14,70
21/05/2016	14,71
22/05/2016	14,71
23/05/2016	14,71
24/05/2016	14,75
25/05/2016	14,77
26/05/2016	14,77
27/05/2016	14,80
28/05/2016	14,82
29/05/2016	14,82
30/05/2016	14,82
31/05/2016	14,86
01/06/2016	14,88
02/06/2016	14,90
03/06/2016	14,91
04/06/2016	14,93
05/06/2016	14,93
06/06/2016	14,93
07/06/2016	14,98
08/06/2016	14,99
09/06/2016	15,01
10/06/2016	15,02
11/06/2016	15,04
12/06/2016	15,04
13/06/2016	15,04
14/06/2016	15,09
15/06/2016	15,11
16/06/2016	15,12
17/06/2016	15,14
18/06/2016	15,14
19/06/2016	15,14
20/06/2016	15,14
21/06/2016	15,14
22/06/2016	15,22
23/06/2016	15,24
24/06/2016	15,25
25/06/2016	15,27
26/06/2016	15,27
27/06/2016	15,27
28/06/2016	15,33
29/06/2016	15,35
30/06/2016	15,37
01/07/2016	15,39
02/07/2016	15,41
03/07/2016	15,41
04/07/2016	15,41
05/07/2016	15,48
06/07/2016	15,50
07/07/2016	15,52
08/07/2016	15,54
09/07/2016	15,54
10/07/2016	15,54
11/07/2016	15,54
12/07/2016	15,62
13/07/2016	15,65
14/07/2016	15,67
15/07/2016	15,69
16/07/2016	15,71
17/07/2016	15,71
18/07/2016	15,71
19/07/2016	15,76
20/07/2016	15,77
21/07/2016	15,79
22/07/2016	15,80
23/07/2016	15,82
24/07/2016	15,82
25/07/2016	15,82
26/07/2016	15,86
27/07/2016	15,88
28/07/2016	15,90
29/07/2016	15,91
30/07/2016	15,93
31/07/2016	15,93
01/08/2016	15,93
02/08/2016	15,97
03/08/2016	15,99
04/08/2016	16,00
05/08/2016	16,02
06/08/2016	16,04
07/08/2016	16,04
08/08/2016	16,04
09/08/2016	16,08
10/08/2016	16,10
11/08/2016	16,11
12/08/2016	16,13
13/08/2016	16,15
14/08/2016	16,15
15/08/2016	16,15
16/08/2016	16,15
17/08/2016	16,20
18/08/2016	16,21
19/08/2016	16,22
20/08/2016	16,23
21/08/2016	16,23
22/08/2016	16,23
23/08/2016	16,26
24/08/2016	16,27
25/08/2016	16,28
26/08/2016	16,29
27/08/2016	16,30
28/08/2016	16,30
29/08/2016	16,30
30/08/2016	16,34
31/08/2016	16,35
01/09/2016	16,36
02/09/2016	16,37
03/09/2016	16,38
04/09/2016	16,38
05/09/2016	16,38
06/09/2016	16,41
07/09/2016	16,42
08/09/2016	16,43
09/09/2016	16,44
10/09/2016	16,45
11/09/2016	16,45
12/09/2016	16,45
13/09/2016	16,48
14/09/2016	16,49
15/09/2016	16,50
16/09/2016	16,51
17/09/2016	16,51
18/09/2016	16,51
19/09/2016	16,51
20/09/2016	16,51
21/09/2016	16,51
22/09/2016	16,52
23/09/2016	16,52
24/09/2016	16,52
25/09/2016	16,52
26/09/2016	16,52
27/09/2016	16,52
28/09/2016	16,52
29/09/2016	16,52
30/09/2016	16,52
01/10/2016	16,52
02/10/2016	16,52
03/10/2016	16,52
04/10/2016	16,53
05/10/2016	16,53
06/10/2016	16,53
07/10/2016	16,53
08/10/2016	16,53
09/10/2016	16,53
10/10/2016	16,53
11/10/2016	16,53
12/10/2016	16,54
13/10/2016	16,54
14/10/2016	16,54
15/10/2016	16,54
16/10/2016	16,54
17/10/2016	16,54
18/10/2016	16,55
19/10/2016	16,56
